GROUP STAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GOALS,,,,CARDS,,,,CORNERS,,,,,,,xG,,SHOTS,,"SHOTS ON
TARGET",,FOULS,
Date,Team 1,Result,,Team 2,1H,,2H,,YEL,,RED,,1H C,,2H C,,MC,,T,,,,,,,,
ROUND OF 16,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GOALS,,,,CARDS,,,,CORNERS,,,,,,,xG,,SHOTS,,"SHOTS ON
TARGET",,FOULS,
Date,Team1,Result,,Team 2,1H,,2H,,YEL,,RED,,1H C,,2H C,,MC,,T,,,,,,,,
04-07-26,Canada,0,3,Morocco,0,0,0,3,4,4,0,0,5,0,6,1,11,1,12,0.84,0.82,10,5,3,4,24,14
04-07-26,Paraguay,0,1,France,0,0,0,1,0,3,0,0,0,7,2,5,2,12,14,0.13,1.45,5,15,0,5,13,11
05-07-26,Brazil,1,2,Norway,0,0,1,2,1,0,0,0,1,3,4,2,5,5,10,2.61,1.05,14,9,4,5,7,6
05-07-26,Mexico,2,3,England,1,2,1,1,2,3,0,1,4,2,8,0,12,2,14,1.88,1.61,20,6,5,5,14,7
06-07-26,Portugal,0,1,Spain,0,0,0,1,2,1,0,0,3,2,0,5,3,7,10,0.63,1.69,10,15,2,6,9,13
06-07-26,USA,1,4,Belgium,1,2,0,2,2,0,0,0,1,3,2,2,3,5,8,0.63,2.01,7,15,2,7,11,9
07-07-26,Argentina,3,2,Egypt,0,1,3,1,0,3,0,0,1,1,5,0,6,1,7,2.84,0.89,19,5,7,2,13,11
07-07-26,Switzerland,p0,0,Colombia,0,0,0,0,3,2,0,0,1,4,2,0,3,7,10,0.39,1.09,7,15,2,3,22,21
QUARTER FINALS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GOALS,,,,CARDS,,,,CORNERS,,,,,,,xG,,SHOTS,,"SHOTS ON
TARGET",,FOULS,
Date,Team1,Result,,Team 2,1H,,2H,,YEL,,RED,,1H C,,2H C,,MC,,T,,,,,,,,
09-07-26,France,2,0,Morocco,0,0,2,0,0,1,0,0,3,1,2,4,5,5,10,3.69,0.14,22,5,8,1,10,13
10-07-26,Spain,2,1,Belgium,1,1,1,0,2,2,0,0,3,0,2,1,5,1,6,2.1,0.37,17,5,8,2,13,18
